#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF and Plasma data
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                 
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html   
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                           
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_20150601_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Apr 23, 2024)
#  3. Bx (nT), GSE
#  4. By (nT), GSM, determined from post-shift GSE components
#  5. Bz (nT), GSM, determined from post-shift GSE components
#  6. Flow Speed (km/s), GSE
#  7. Proton density (n/cc) (last currently-available OMNI plasma data Apr 23, 2024)
#  8. Temperature (K)
#  9. Flow pressure (nPa)
#       NOTES:  Derived parameters are obtained from the following equations. Flow pressure = (2*10**-6)*Np*Vp**2 nPa (Np in cm**-3, Vp in km/s, subscript p for proton)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,MAG_AVG_B-VECTOR_nT,BX__GSE_nT,BY__GSM_nT,BZ__GSM_nT,FLOW_SPEED__GSE_km/s,PROTON_DENSITY_n/cc,TEMPERATURE_K,FLOW_PRESSURE_nPa
2015-06-01T00:00:00.000Z,7.35000,-5.04000,-0.280000,-3.99000,344.500,8.17000,48512.0,1.94000
2015-06-01T00:01:00.000Z,7.30000,-5.92000,-0.330000,-3.98000,342.100,7.38000,51496.0,1.73000
2015-06-01T00:02:00.000Z,7.25000,-5.64000,1.40000,-3.54000,343.000,7.31000,45320.0,1.72000
2015-06-01T00:03:00.000Z,7.17000,-5.12000,2.33000,-2.86000,344.600,7.11000,39378.0,1.69000
2015-06-01T00:04:00.000Z,7.13000,-4.96000,2.36000,-2.80000,341.400,7.68000,42451.0,1.79000
2015-06-01T00:05:00.000Z,7.06000,-5.09000,2.12000,-2.94000,345.500,7.14000,40953.0,1.70000
2015-06-01T00:06:00.000Z,7.11000,-5.37000,0.840000,-3.60000,342.400,7.76000,57721.0,1.82000
2015-06-01T00:07:00.000Z,7.02000,-5.16000,2.86000,-2.59000,343.200,7.76000,52966.0,1.83000
2015-06-01T00:08:00.000Z,7.04000,-4.51000,5.23000,-1.33000,344.900,7.18000,37998.0,1.71000
2015-06-01T00:09:00.000Z,7.22000,-5.28000,2.68000,-2.78000,347.000,7.08000,35042.0,1.70000
2015-06-01T00:10:00.000Z,7.24000,-4.76000,5.28000,-1.39000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:11:00.000Z,7.30000,-5.88000,0.200000,-4.28000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:12:00.000Z,7.25000,-5.75000,1.87000,-3.16000,339.600,7.04000,46349.0,1.62000
2015-06-01T00:13:00.000Z,7.27000,-5.90000,1.39000,-3.35000,340.500,7.02000,43619.0,1.63000
2015-06-01T00:14:00.000Z,7.24000,-5.68000,2.02000,-2.81000,342.300,6.84000,41360.0,1.60000
2015-06-01T00:15:00.000Z,7.21000,-5.64000,1.81000,-2.80000,338.100,7.06000,47150.0,1.61000
2015-06-01T00:16:00.000Z,7.16000,-5.40000,3.65000,-1.99000,340.400,7.24000,46387.0,1.68000
2015-06-01T00:17:00.000Z,7.14000,-5.32000,3.68000,-2.09000,340.200,7.13000,44873.0,1.65000
2015-06-01T00:18:00.000Z,7.11000,-4.83000,4.83000,-1.46000,343.100,7.32000,42426.0,1.72000
2015-06-01T00:19:00.000Z,7.09000,-3.84000,5.83000,-1.28000,347.100,7.46000,35352.0,1.80000
2015-06-01T00:20:00.000Z,7.09000,-5.85000,3.58000,-1.69000,347.600,7.41000,34937.0,1.79000
2015-06-01T00:21:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:22:00.000Z,7.19000,-4.40000,5.55000,-1.30000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:23:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:24:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:25:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:26:00.000Z,7.20000,-4.39000,5.54000,-1.31000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:27:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:28:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:29:00.000Z,7.15000,-4.23000,5.61000,-1.31000,348.300,7.07000,33869.0,1.72000
2015-06-01T00:30:00.000Z,9999.99,9999.99,9999.99,9999.99,348.300,7.07000,33869.0,1.72000
2015-06-01T00:31:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:32:00.000Z,7.17000,-4.29000,5.58000,-1.33000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:33:00.000Z,7.17000,-4.29000,5.58000,-1.33000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:34:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:35:00.000Z,7.05000,-4.17000,5.52000,-1.34000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:36:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:37:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:38:00.000Z,7.17000,-4.24000,5.62000,-1.33000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:39:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:40:00.000Z,7.07000,-4.10000,5.59000,-1.40000,348.900,7.28000,33722.0,1.77000
2015-06-01T00:41:00.000Z,7.07000,-4.10000,5.59000,-1.41000,348.900,7.28000,33722.0,1.77000
2015-06-01T00:42:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:43:00.000Z,7.06000,-4.03000,5.63000,-1.41000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:44:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:45:00.000Z,7.07000,-4.01000,5.65000,-1.39000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:46:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:47:00.000Z,7.02000,-4.07000,5.56000,-1.34000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:48:00.000Z,6.95000,-4.02000,5.50000,-1.35000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:49:00.000Z,6.95000,-4.02000,5.50000,-1.36000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:50:00.000Z,6.85000,-3.92000,5.44000,-1.38000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:51:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:52:00.000Z,6.89000,-3.98000,5.44000,-1.41000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:53:00.000Z,6.85000,-3.96000,5.43000,-1.31000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:54:00.000Z,9999.99,9999.99,9999.99,9999.99,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:55:00.000Z,6.87000,-3.96000,5.46000,-1.31000,347.100,7.94000,35444.0,1.91000
2015-06-01T00:56:00.000Z,6.89000,-4.19000,5.33000,-1.23000,347.100,7.94000,35444.0,1.91000
2015-06-01T00:57:00.000Z,6.89000,-4.19000,5.33000,-1.23000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:58:00.000Z,6.82000,-4.12000,5.31000,-1.17000,99999.9,999.990,1.00000e+07,99.9900
2015-06-01T00:59:00.000Z,6.79000,-4.09000,5.28000,-1.17000,99999.9,999.990,1.00000e+07,99.9900
